gene_symbol	log2FoldChange	pvalue	padj	significance
CPLX2	5.86949138564312	7.19613997221881e-10	1.99109996891322e-05	Up in R
PEX5L	4.89189087168897	1.47205430712288e-09	2.03651353118915e-05	Up in R
WSCD2	3.35939355875186	5.81874016617844e-09	5.36662405526638e-05	Up in R
CACNA1A	2.97334002710654	1.1794029198025e-07	0.000815822484700385	Up in R
RNASE7	-5.6827258334701	1.58540636213538e-07	0.000877332172678476	Down in R
SBSN	-5.56608219876921	2.11802315984049e-07	0.000976726380160442	Down in R
S100A8	-3.58830289188733	3.97600751124408e-07	0.00157160216898018	Down in R
SCN3A	2.80364069949979	5.18594820336806e-07	0.00179362501048738	Up in R
ELAVL3	4.94079272302658	9.53587344963418e-07	0.0028162202319138	Up in R
MT-RNR1	-3.42090221520127	1.01782508652781e-06	0.0028162202319138	Down in R
MT-RNR2	-3.45285816847895	1.88116697919385e-06	0.00473181901339223	Down in R
SPRR2D	-5.76526047606139	2.09293821195306e-06	0.00482579228221077	Down in R
CRCT1	-7.86249965817156	3.19958664086379e-06	0.00608126351910663	Down in R
FOXG1	-4.72622350598136	3.29679253990384e-06	0.00608126351910663	Down in R
RHCG	-5.1576224909851	3.24837844066291e-06	0.00608126351910663	Down in R
CDSN	-3.69386995932749	4.9289973234168e-06	0.00852377668385122	Down in R
AMER2	4.09140678045435	6.02789433482758e-06	0.0092658782416858	Up in R
SERPINB7	-4.02498586869124	5.849642186034e-06	0.0092658782416858	Down in R
ENSG00000259370	-2.93089961497773	9.59404665467337e-06	0.0139714566783241	Not significant
SNAP25	2.34988181741545	1.26207177019194e-05	0.0174601319047203	Not significant
RGS8	3.13408063683013	1.68813149540299e-05	0.0212313228846843	Not significant
VIL1	2.79157328689183	1.67319996533019e-05	0.0212313228846843	Not significant
KRTDAP	-5.71906768805706	1.81034978047362e-05	0.0217785078590977	Not significant
CACNA1E	2.33604052412747	2.46050820549581e-05	0.0257732388039759	Not significant
CNTN2	3.44595371668614	2.42679879444434e-05	0.0257732388039759	Not significant
KIAA0319	2.14142008364107	2.29127959962801e-05	0.0257732388039759	Not significant
CALCA	4.56254532389304	2.51500758143536e-05	0.0257732388039759	Not significant
SPRR2E	-5.56096039065172	2.94277474313593e-05	0.028312871256556	Not significant
CHGB	2.98094362685266	2.9674844282053e-05	0.028312871256556	Not significant
SPRR2A	-5.17594648123689	3.66128185117205e-05	0.0337680025133598	Not significant
IVL	-3.90644091226438	4.3085787907962e-05	0.0384561505040452	Not significant
NPB	2.04772657136598	4.53115799601706e-05	0.0391789408099362	Not significant
ELF5	-2.50631698088074	4.91515198769622e-05	0.0412113152568384	Not significant
CNFN	-2.97636369857467	6.15688929860929e-05	0.0501044029421237	Not significant
